,Shannon,Sobs,input,filtered,percentage of input passed filter,denoised,merged,percentage of input merged,non-chimeric,percentage of input non-chimeric,Date,Year,SampleType,Dosing,Time,InfluentFlowgalpermin,WindSpeedmps,WindDirection,H2OUse,PercentCloudCover,SamPortNum,PSampleID,ImidAbsorbance,ImidConcentration,PyreAbsorbance,PyreConcentration,FilterVolmL,ConductivitymgL,TempC,Turbidityppm,Phosppm,Nitratesppm,DisO2ppm,Salinity,pH,avgImidppm,avgPyreppm,ImidConcentrationppm,PyreConcentrationppm,TurbidityppmSONDE,NitratesppmSONDE,DisO2ppmSONDE,SalinitySONDE,pHSONDE
B0452_S140,5.083682907,302,10784,9641,89.4,9163,8618,79.91,8348,77.41,9/13/19,2019,Water,post,17:07:00,10.4,1.9,W,0,5,4,P_0200,0.7901,-0.13208,0.6019,3.225105,540,1671,21.3,17,1.15,26.4,2.4,1.5,7.5,-0.124565,2.145871,,,,,,,
B0453_S141,5.584597302,451,123218,108779,88.28,103923,71857,58.32,58230,47.26,9/14/19,2019,Water,post,8:09:00,0,0,,7.8,0,1,P_0201,0.7712,-0.10745,0.60365,3.159074,200,1684,20.5,57,1.17,24.6,1.4,4,7.5,-0.08867,3.040017,,,,,,,
B0454_S142,4.447135664,150,6727,5727,85.13,5184,3701,55.02,3434,51.05,9/14/19,2019,Water,post,8:09:00,0,0,,7.8,0,2,,,,,,120,1685,19.3,33,1.12,20.9,1.3,3.5,7.5,-0.08867,3.040017,,,,,,,
B0455_S143,5.146600494,279,12378,11026,89.08,9831,6052,48.89,5481,44.28,9/14/19,2019,Water,post,8:09:00,0,0,,7.8,0,3,,,,,,80,1685,19.9,26,0.97,25.9,2.7,3.5,7.4,-0.08867,3.040017,,,,,,,
B0456_S144,5.110060914,282,13722,12061,87.9,10944,6790,49.48,5981,43.59,9/14/19,2019,Water,post,8:09:00,0,0,,7.8,0,4,P_0202,0.74335,-0.06989,0.6102,2.92096,300,1670,19.8,17,1.08,33,1.9,2,7.5,-0.08867,3.040017,,,,,,,
B0457_S145,5.006650278,279,13285,11853,89.22,10738,6691,50.37,6030,45.39,9/14/19,2019,Water,post,11:05:00,0,3.8,W,7.8,0,1,P_0203,0.77955,-0.11842,0.67555,1.177392,300,1702,20.6,48,1.38,31.4,3.3,4,7.5,-0.10645,2.286593,,,,,,,
B0458_S146,4.832212009,209,10051,8650,86.06,7860,5383,53.56,4977,49.52,9/14/19,2019,Water,post,11:05:00,0,3.8,W,7.8,0,2,,,,,,300,1710,23.9,10,1.17,49,3.9,5,7.5,-0.10645,2.286593,,,,,,,
B0459_S147,5.245589327,320,16080,14330,89.12,12938,8085,50.28,7334,45.61,9/14/19,2019,Water,post,11:05:00,0,3.8,W,7.8,0,3,,,,,,180,1685,27.1,32,1.1,59.2,2.4,3,7.6,-0.10645,2.286593,,,,,,,
B0460_S148,5.289168031,327,26218,23160,88.34,21297,13243,50.51,11866,45.26,9/14/19,2019,Water,post,11:05:00,0,3.8,W,7.8,0,4,P_0204,0.76145,-0.09448,0.5975,3.395794,300,1675,26.8,14,1.11,36.2,1.4,3,7.5,-0.10645,2.286593,,,,,,,
B0461_S149,5.018055519,255,11270,9901,87.85,8957,5331,47.3,4674,41.47,9/14/19,2019,Water,post,14:28:00,0,3.8,W,0,20,1,P_0205,0.7541,-0.08457,0.60785,3.00478,120,1722,20.9,38,1.4,57.6,2.2,4,7.5,-0.064675,2.6718885,,,,,,,
B0462_S150,4.94626693,214,9328,8191,87.81,7330,4238,45.43,3829,41.05,9/14/19,2019,Water,post,14:28:00,0,3.8,W,0,20,2,,,,,,180,1720,20.6,41,1.16,,3,3,7.5,-0.064675,2.6718885,,,,,,,
B0463_S151,5.134603526,294,13762,12072,87.72,10853,6675,48.5,6037,43.87,9/14/19,2019,Water,post,14:28:00,0,3.8,W,0,20,3,,,,,,170,1541,20.7,25,1.2,58.4,3,4,7.5,-0.064675,2.6718885,,,,,,,
B0464_S152,5.254242032,316,16491,14701,89.15,13336,8418,51.05,7635,46.3,9/14/19,2019,Water,post,14:28:00,0,3.8,W,0,20,4,P_0206,0.72535,-0.04478,0.62805,2.338997,300,1681,21.5,13,1.08,52,3,2,7.5,-0.064675,2.6718885,,,,,,,
B0465_S153,4.835541071,264,10737,9503,88.51,8508,5361,49.93,4896,45.6,9/14/19,2019,Water,post,17:16:00,0,2.6,W,0,3,1,P_0207,0.76635,-0.10102,0.61735,2.67657,180,1617,23.4,4,1.42,57.6,5.9,2,7.5,-0.082035,2.9680205,,,,,,,
B0466_S154,5.226273421,316,15441,13683,88.61,12196,7353,47.62,6624,42.9,9/14/19,2019,Water,post,17:16:00,0,2.6,W,0,3,2,,,,,,120,1703,20.8,40,1.39,67.2,5.3,2,7.5,-0.082035,2.9680205,,,,,,,
B0467_S155,5.038171514,262,11211,9768,87.13,8691,5230,46.65,4810,42.9,9/14/19,2019,Water,post,17:16:00,0,2.6,W,0,3,3,,,,,,120,1649,23.7,11,1.34,64.8,4.1,2,7.5,-0.082035,2.9680205,,,,,,,
SB0088_S2,4.647428629,182,8320,6994,84.06,6192,3772,45.34,3421,41.12,7/15/19,2019,Sediment,pre,11:00:00,0,3.2,W,0,0,4,P_0052,0.364,0.111707,0.8995,0.051211,70,4590,18.6,88,0.91,17.6,3.5,0,,0.5665365,0.049722,,,,,,,
SB0089_S3,3.384104092,50,2262,1658,73.3,1381,1104,48.81,1088,48.1,7/15/19,2019,Sediment,pre,14:00:00,0,3.8,SW,0,0,1,P_0053,0.297,0.302018,0.9545,-0.23064,110,1726,23.5,49,0.32,17.2,6.7,0,,0.150304,-0.127095,,,,,,,
SB0090_S4,3.700537555,83,4548,2932,64.47,2604,2133,46.9,1995,43.87,7/15/19,2019,Sediment,pre,14:00:00,0,3.8,SW,0,0,2,,,,,,45,1653,24.3,83,0.77,19.6,6.4,0,,0.150304,-0.127095,,,,,,,
SB0091_S5,5.441160591,392,37567,33302,88.65,31255,22148,58.96,19069,50.76,7/15/19,2019,Sediment,pre,14:00:00,0,3.8,SW,0,0,3,,,,,,30,3550,22.3,143,0.7,19.8,8.7,0,,0.150304,-0.127095,,,,,,,
SB0093_S7,5.245627594,286,13619,12189,89.5,11188,8037,59.01,7501,55.08,7/15/19,2019,Sediment,pre,17:00:00,0,3.3,SW,0,0,1,P_0055,0.321,0.230366,0.9185,-0.05625,100,1726,26.1,56,1.77,24.8,5.8,0,,0.191053,-0.037125,,,,,,,
SB0094_S8,4.762050388,210,10546,8770,83.16,8019,5736,54.39,5330,50.54,7/15/19,2019,Sediment,pre,17:00:00,0,3.3,SW,0,0,2,,,,,,85,1679,27.2,59,0.86,32.2,4.9,0,,0.191053,-0.037125,,,,,,,
SB0095_S9,5.096047345,261,13512,12144,89.88,11158,7760,57.43,6889,50.98,7/15/19,2019,Sediment,pre,17:00:00,0,3.3,SW,0,0,3,,,,,,35,1618,24.9,206,0.84,19.6,14.2,0,,0.191053,-0.037125,,,,,,,
SB0096_S10,4.786133108,198,8146,7012,86.08,6348,4360,53.52,4093,50.25,7/15/19,2019,Sediment,pre,17:00:00,0,3.3,SW,0,0,4,P_0056,0.349,0.15174,0.9115,-0.018,70,1022,24.3,75,1.26,26,4.2,0,,0.191053,-0.037125,,,,,,,
SB0097_S11,5.213225096,292,16572,13474,81.31,12358,8494,51.26,7801,47.07,7/16/19,2019,Sediment,pre,8:00:00,0,2.9,W,0,95,1,P_0057,0.2685,0.392544,0.9095,-0.00679,94,3781,18.6,117,1.02,17,7.3,2,,0.184502,-0.07492,,,,,,,
SB0098_S12,4.960009186,238,12585,9773,77.66,9033,6726,53.44,6284,49.93,7/16/19,2019,Sediment,pre,8:00:00,0,2.9,W,0,95,2,,,,,,70,1710,19.7,85,0.86,9.4,4.8,2.5,,0.184502,-0.07492,,,,,,,
SB0099_S13,4.455086364,188,9261,7808,84.31,7116,5424,58.57,5033,54.35,7/16/19,2019,Sediment,pre,8:00:00,0,2.9,W,0,95,3,,,,,,40,4196,20.4,228,1.37,9.4,7.1,3,,0.184502,-0.07492,,,,,,,
SB0100_S14,5.038114922,238,10923,9451,86.52,8591,5903,54.04,5503,50.38,7/16/19,2019,Sediment,pre,8:00:00,0,2.9,W,0,95,4,P_0058,0.419,-0.02354,0.9355,-0.14305,80,1444,18.7,94,0.88,12,6,3,,0.184502,-0.07492,,,,,,,
SB0101_S15,5.201494147,275,14539,12861,88.46,11825,7861,54.07,7043,48.44,7/16/19,2019,Sediment,pre,11:00:00,0,2.6,W,0,100,1,P_0059,0.358,0.12755,0.894,0.084542,68,1585,18.9,149,0.73,11.6,7.2,2,,0.1362595,0.0619445,,,,,,,
SB0102_S16,4.571289466,155,4659,4020,86.28,3575,2620,56.24,2484,53.32,7/16/19,2019,Sediment,pre,11:00:00,0,2.6,W,0,100,2,,,,,,77,1630,20.3,74,0.91,12.8,4.1,2,,0.1362595,0.0619445,,,,,,,
SB0103_S17,4.463910497,182,8836,7633,86.39,6997,5126,58.01,4620,52.29,7/16/19,2019,Sediment,pre,11:00:00,0,2.6,W,0,100,3,,,,,,35,1610,20.8,186,0.92,5,8.2,2.5,,0.1362595,0.0619445,,,,,,,
SB0104_S18,4.584891785,158,6340,5505,86.83,4910,3266,51.51,2981,47.02,7/16/19,2019,Sediment,pre,11:00:00,0,2.6,W,0,100,4,P_0060,0.3515,0.144969,0.9015,0.039347,92,1620,20,67,0.71,7.2,4.8,3,,0.1362595,0.0619445,,,,,,,
SB0105_S19,4.573379733,152,7148,5513,77.13,4861,2743,38.37,2471,34.57,7/16/19,2019,Sediment,pre,14:00:00,0,3.9,W,0,0,1,P_0061,0.3135,0.252323,0.876,0.201192,58,1631,21.9,56,0.94,11,5.1,2,,0.172269,0.174533,,,,,,,
SB0106_S20,4.305552337,107,7594,4414,58.12,3756,2081,27.4,1757,23.14,7/16/19,2019,Sediment,pre,14:00:00,0,3.9,W,0,0,2,,,,,,50,1675,23.4,55,0.78,7.2,8.3,2,,0.172269,0.174533,,,,,,,
SB0107_S21,5.031401752,224,8386,7286,86.88,6398,4037,48.14,3530,42.09,7/16/19,2019,Sediment,pre,14:00:00,0,3.9,W,0,0,3,,,,,,31,1725,23.1,72,0.91,7.2,6.9,1,,0.172269,0.174533,,,,,,,
SB0108_S22,4.651286996,177,7621,6258,82.12,5554,3226,42.33,2973,39.01,7/16/19,2019,Sediment,pre,14:00:00,0,3.9,W,0,0,4,P_0062,0.3715,0.092215,0.884,0.147874,70,1576,22.2,94,0.8,8.4,3.8,2,,0.172269,0.174533,,,,,,,
SB0109_S23,5.105134424,264,10428,9142,87.67,8095,5359,51.39,4914,47.12,7/16/19,2019,Sediment,pre,17:00:00,0,3.5,SW,0,5,1,P_0063,0.3415,0.172294,1.004,-0.41907,65,1607,23.5,43,1.1,30.4,7.1,1,,0.161338,-0.482615,,,,,,,
SB0110_S24,4.683895795,185,9183,7473,81.38,6737,4244,46.22,3772,41.08,7/16/19,2019,Sediment,pre,17:00:00,0,3.5,SW,0,5,2,,,,,,35,1543,26,92,0.87,10.4,6.2,1,,0.161338,-0.482615,,,,,,,
SB0111_S25,4.287671178,113,3847,3313,86.12,2876,1854,48.19,1636,42.53,7/16/19,2019,Sediment,pre,17:00:00,0,3.5,SW,0,5,3,,,,,,18,1529,26,335,0.75,11,,1,,0.161338,-0.482615,,,,,,,
SB0112_S26,4.406644425,152,5726,4977,86.92,4562,3723,65.02,3504,61.19,7/16/19,2019,Sediment,pre,17:00:00,0,3.5,SW,0,5,4,P_0064,0.3495,0.150382,1.0475,-0.54616,70,1622,23.2,59,0.79,12,5,0,,0.161338,-0.482615,,,,,,,
SB0113_S27,5.195295032,267,11986,10619,88.6,9652,6050,50.48,5331,44.48,7/17/19,2019,Sediment,pre,8:00:00,0,1,W,0,100,1,P_0065,0.3,0.292838,1.024,-0.48141,95,1572,18.5,87,1.77,5.6,5.1,2.5,,0.164302,-0.337015,,,,,,,
SB0116_S30,5.16141969,291,18476,16079,87.03,14850,9684,52.41,8432,45.64,7/17/19,2019,Sediment,pre,8:00:00,0,1,W,0,100,4,P_0066,0.394,0.035766,0.946,-0.19262,140,1612,20.5,53,0.99,3.8,3,3.5,,0.164302,-0.337015,,,,,,,
SB0117_S31,5.221697124,306,20583,18169,88.27,16577,9717,47.21,8119,39.45,7/17/19,2019,Sediment,pre,11:00:00,0,1.6,W,0,10,1,P_0067,0.3215,0.228916,1.0185,-0.46497,44,3424,21.4,129,0.97,3.4,3.5,2,,0.2376725,-0.497705,,,,,,,
SB0118_S32,4.325240703,167,11829,10375,87.71,9765,7009,59.25,5267,44.53,7/17/19,2019,Sediment,pre,11:00:00,0,1.6,W,0,10,2,,,,,,40,1420,22.2,137,0.76,2.8,4,2,,0.2376725,-0.497705,,,,,,,
SB0119_S33,5.270502636,327,39368,34311,87.15,31935,18699,47.5,12398,31.49,7/17/19,2019,Sediment,pre,11:00:00,0,1.6,W,0,10,3,,,,,,25,1558,21.8,266,0.84,1.8,9.8,2,,0.2376725,-0.497705,,,,,,,
SB0121_S35,4.848109372,200,10607,8125,76.6,7235,4133,38.96,3631,34.23,7/17/19,2019,Sediment,pre,14:00:00,0,5.7,W,0,15,1,P_0069,0.2855,0.337815,0.9975,-0.39724,115,1521,23.3,42,1.25,1.7,6,2,,0.235348,-0.2006,,,,,,,
SB0122_S36,5.252417356,304,22096,19507,88.28,17965,11271,51.01,9657,43.7,7/17/19,2019,Sediment,pre,14:00:00,0,5.7,W,0,15,2,,,,,,45,1342,23.4,87,1.16,1.8,6.2,2,,0.235348,-0.2006,,,,,,,
SB0123_S37,5.243067697,289,15550,13575,87.3,12348,7355,47.3,6425,41.32,7/17/19,2019,Sediment,pre,14:00:00,0,5.7,W,0,15,3,,,,,,25,1517,23.1,197,1.1,1.1,12.5,1,,0.235348,-0.2006,,,,,,,
SB0125_S39,4.884977016,229,11902,10333,86.82,9312,5344,44.9,4608,38.72,7/17/19,2019,Sediment,pre,17:00:00,0,3,W,0,90,1,P_0071,0.3015,0.288272,1.0725,-0.60619,85,1551,23.5,81,1.14,7.5,5.5,2,,0.2549815,-0.65651,,,,,,,
SB0126_S40,4.97891473,241,13351,11874,88.94,10779,6496,48.66,5466,40.94,7/17/19,2019,Sediment,pre,17:00:00,0,3,W,0,90,2,,,,,,88,1553,23.9,146,0.86,1.4,5.2,1,,0.2549815,-0.65651,,,,,,,
SB0129_S43,4.321311515,133,6228,4649,74.65,4189,2947,47.32,2714,43.58,7/18/19,2019,Sediment,pre,8:00:00,200,0,,0,100,1,P_0073,0.285,0.339394,0.923,-0.08004,90,1632,21,57,1.51,3,5.5,2,7.4,0.1809055,0.0371835,,,,,,,
SB0130_S44,4.759746746,228,14516,12666,87.26,11724,7847,54.06,6455,44.47,7/18/19,2019,Sediment,pre,8:00:00,200,0,,0,100,2,,,,,,54,1721,22.8,121,1.92,1.6,7.1,2,7.3,0.1809055,0.0371835,,,,,,,
SB0131_S45,4.745178507,223,12479,10549,84.53,9868,7522,60.28,6803,54.52,7/18/19,2019,Sediment,pre,8:00:00,200,0,,0,100,3,,,,,,24,2894,23,385,1.1,3.6,,2.5,7.3,0.1809055,0.0371835,,,,,,,
SB0132_S46,4.988142231,245,13766,12098,87.88,11123,7036,51.11,6068,44.08,7/18/19,2019,Sediment,pre,8:00:00,200,0,,0,100,4,P_0074,0.3995,0.022417,0.883,0.154407,70,1584,22.3,94,0.31,2,4.1,2,7.3,0.1809055,0.0371835,,,,,,,
SB0133_S47,4.650428318,194,9835,8445,85.87,7785,5250,53.38,4477,45.52,7/18/19,2019,Sediment,pre,11:14:00,200,1.8,W,0,60,1,P_0075,0.349,0.15174,0.866,0.271336,50,1559,18.5,102,1.29,1.4,,1.5,7.4,0.1917785,-0.005997,,,,,,,
SB0134_S48,4.72265231,179,6677,5850,87.61,5094,2940,44.03,2548,38.16,7/18/19,2019,Sediment,pre,11:14:00,200,1.8,W,0,60,2,,,,,,45,1630,20.8,65,1.06,2.8,,1,7.8,0.1917785,-0.005997,,,,,,,
SB0135_S49,4.899470922,222,11252,9646,85.73,8639,4819,42.83,4136,36.76,7/18/19,2019,Sediment,pre,11:14:00,200,1.8,W,0,60,3,,,,,,25,1675,22.3,216,1.19,2,,1,7.3,0.1917785,-0.005997,,,,,,,
SB0137_S51,4.946218769,223,13177,9651,73.24,8659,5129,38.92,4421,33.55,7/18/19,2019,Sediment,pre,14:00:00,200,4,W,0,25,1,P_0077,0.2715,0.382726,1.0715,-0.60395,75,1344,24.7,59,1.74,3.4,,3,7.3,0.255138,-0.30818,,,,,,,
SB0138_S52,5.019079763,264,15376,13472,87.62,12315,7592,49.38,6442,41.9,7/18/19,2019,Sediment,pre,14:00:00,200,4,W,0,25,2,,,,,,55,1537,24.2,77,1.19,1.1,,2,7.3,0.255138,-0.30818,,,,,,,
SB0139_S53,4.859534464,221,11309,9629,85.14,8464,4846,42.85,4259,37.66,7/18/19,2019,Sediment,pre,14:00:00,200,4,W,0,25,3,,,,,,30,1539,24.5,134,1.29,2.3,,0,7.4,0.255138,-0.30818,,,,,,,
SB0140_S54,4.94593006,229,13185,11609,88.05,10474,6174,46.83,5318,40.33,7/18/19,2019,Sediment,pre,14:00:00,200,4,W,0,25,4,P_0078,0.358,0.12755,0.9105,-0.01241,110,2287,23,42,1.44,1,,0,7.5,0.255138,-0.30818,,,,,,,
SB0141_S55,5.020328843,253,11931,10228,85.73,9064,5107,42.8,4463,37.41,7/18/19,2019,Sediment,pre,17:00:00,200,5,W,0,90,1,P_0079,0.349,0.15174,1.0505,-0.55382,55,1549,23,67,1.59,2.5,,1.5,7.2,0.120691,-0.5487,,,,,,,
SB0142_S56,5.105434972,257,15176,13290,87.57,11997,7029,46.32,5885,38.78,7/18/19,2019,Sediment,pre,17:00:00,200,5,W,0,90,2,,,,,,70,1595,22.6,115,1.22,2,,1,7.2,0.120691,-0.5487,,,,,,,
SB0143_S57,5.115203591,252,16444,12465,75.8,10895,5638,34.29,4930,29.98,7/18/19,2019,Sediment,pre,17:00:00,200,5,W,0,90,3,,,,,,25,1621,22.5,407,1.23,1.8,,1,7.2,0.120691,-0.5487,,,,,,,
SB0144_S58,4.933823717,209,13941,9715,69.69,8640,4594,32.95,4030,28.91,7/18/19,2019,Sediment,pre,17:00:00,200,5,W,0,90,4,P_0080,0.3725,0.089642,1.0465,-0.54358,55,1650,22,91,1.4,1.6,,1,7.5,0.120691,-0.5487,,,,,,,
SB0145_S59,4.697548097,204,12522,10891,86.97,10061,6348,50.69,5364,42.84,7/19/19,2019,Sediment,pre,8:00:00,53,2,W,6,100,1,P_0081,0.2955,0.306632,1.0835,-0.63003,300,3801,15.9,16,1.28,51,5.1,2.5,7.5,0.058071,-0.56226,,,,,,,
SB0146_S60,5.166396847,299,20011,17109,85.5,15678,9025,45.1,7440,37.18,7/19/19,2019,Sediment,pre,8:00:00,53,2,W,6,100,2,,,,,,100,1547,15.9,55,1.39,28.8,5.3,2,7.4,0.058071,-0.56226,,,,,,,
SB0147_S61,4.894301654,236,13986,12178,87.07,11137,7035,50.3,6002,42.91,7/19/19,2019,Sediment,pre,8:00:00,53,2,W,6,100,3,,,,,,90,1558,17,71,1.25,31.8,5.6,2,7.6,0.058071,-0.56226,,,,,,,
SB0148_S62,5.013758837,243,12088,10320,85.37,9316,5429,44.91,4620,38.22,7/19/19,2019,Sediment,pre,8:00:00,53,2,W,6,100,4,P_0082,0.4985,-0.19049,1.0285,-0.49449,230,3451,15.8,22,1.29,17.4,10,1,7.8,0.058071,-0.56226,,,,,,,
SB0149_S63,5.376729429,304,14123,12534,88.75,11133,6597,46.71,5915,41.88,7/19/19,2019,Sediment,pre,11:10:00,25.9,3,W,0,100,1,P_0083,0.4365,-0.06302,0.9295,-0.11336,230,1614,15.1,3,1.36,47.6,3.8,1,7.4,0.082948,-0.224775,,,,,,,
SB0150_S64,4.785243657,199,10000,8484,84.84,7553,4146,41.46,3564,35.64,7/19/19,2019,Sediment,pre,11:10:00,25.9,3,W,0,100,2,,,,,,165,1560,15.5,16,1.93,42.2,2.8,1.5,7.4,0.082948,-0.224775,,,,,,,
SB0151_S65,4.890943641,198,12639,7305,57.8,6356,3715,29.39,3388,26.81,7/19/19,2019,Sediment,pre,11:10:00,25.9,3,W,0,100,3,,,,,,160,1611,16.1,11,0.09,25.5,5.9,0.5,7.5,0.082948,-0.224775,,,,,,,
SB0152_S66,4.442042068,131,7564,5006,66.18,4410,2694,35.62,2404,31.78,7/19/19,2019,Sediment,pre,11:10:00,25.9,3,W,0,100,4,P_0084,0.3215,0.228916,0.9805,-0.33619,220,1635,16.1,13,1.06,28.2,1.4,1.5,7.7,0.082948,-0.224775,,,,,,,
SB0153_S67,5.185178851,284,12305,10868,88.32,9776,6613,53.74,5984,48.63,7/19/19,2019,Sediment,pre,14:00:00,23.7,4.1,NW,0,90,1,P_0085,0.366,0.106475,1.092,-0.64745,300,3944,18,0,1.71,55.2,6.3,1.5,7.4,0.0414675,-0.62,,,,,,,
SB0154_S68,4.730828759,207,9667,8220,85.03,7396,4468,46.22,3775,39.05,7/19/19,2019,Sediment,pre,14:00:00,23.7,4.1,NW,0,90,2,,,,,,160,1603,17.6,6,1.52,64.4,4.5,2,7.4,0.0414675,-0.62,,,,,,,
SB0155_S69,4.957220949,215,8645,7684,88.88,6684,3948,45.67,3550,41.06,7/19/19,2019,Sediment,pre,14:00:00,23.7,4.1,NW,0,90,3,,,,,,210,1601,17.4,11,1.24,50.8,4,2,7.4,0.0414675,-0.62,,,,,,,
SB0156_S70,5.051418999,251,13278,11367,85.61,10384,6441,48.51,5865,44.17,7/19/19,2019,Sediment,pre,14:00:00,23.7,4.1,NW,0,90,4,P_0086,0.419,-0.02354,1.0665,-0.59255,290,1577,15.6,9,1.12,38.4,8.3,0,7.5,0.0414675,-0.62,,,,,,,
SB0157_S71,5.284630224,305,14221,12513,87.99,11294,7395,52,6701,47.12,7/19/19,2019,Sediment,pre,17:00:00,19,4.2,NW,0,65,1,P_0087,0.451,-0.09452,1.0595,-0.57604,300,2298,17.6,0,1.51,,7.7,2.5,7.4,-0.0176425,-0.333235,,,,,,,
SB0158_S72,4.922926251,236,12416,10840,87.31,9829,5701,45.92,5084,40.95,7/19/19,2019,Sediment,pre,17:00:00,19,4.2,NW,0,65,2,,,,,,200,1782,17.8,15,1.37,55.8,7,2,7.4,-0.0176425,-0.333235,,,,,,,
SB0159_S73,5.036437996,219,25737,10028,38.96,8689,4969,19.31,4453,17.3,7/19/19,2019,Sediment,pre,17:00:00,19,4.2,NW,0,65,3,,,,,,145,1508,18.1,8,1.13,61.2,3.6,0,7.5,-0.0176425,-0.333235,,,,,,,
SB0160_S74,4.477744644,142,11318,6439,56.89,5715,3110,27.48,2704,23.89,7/19/19,2019,Sediment,pre,17:00:00,19,4.2,NW,0,65,4,P_0088a,0.3845,0.059235,0.925,-0.09043,270,1567,17.6,11,1.14,59.4,7.5,0,7.4,-0.0176425,-0.333235,,,,,,,
SB0390_S76,4.924233817,262,14822,12778,86.21,11580,7415,50.03,6751,45.55,9/10/19,2019,Sediment,post,8:35:00,0,3.1,W,0,0,2,,,,,,420,1675,22,2,1.11,17.4,1.2,2,7.5,-0.088125,-0.488235,,,,,,,
SB0391_S77,5.294005733,299,14250,12492,87.66,11115,7338,51.49,6700,47.02,9/10/19,2019,Sediment,post,8:35:00,0,3.1,W,0,0,3,,,,,,240,1653,22,18,1.03,14.2,3.3,1,7.6,-0.088125,-0.488235,,,,,,,
SB0392_S78,5.215361206,288,16637,14449,86.85,13095,8490,51.03,7608,45.73,9/10/19,2019,Sediment,post,8:35:00,0,3.1,W,0,0,4,P_0170,0.7386,-0.06333,0.9908,-0.87247,360,1654,23,10,0.76,14,4,2,7.6,-0.088125,-0.488235,,,,,,,
SB0393_S79,5.005525943,250,10463,9142,87.37,8201,5541,52.96,5005,47.84,9/10/19,2019,Sediment,post,11:49:00,0,4,W,0,0,1,P_0171,0.78525,-0.12582,0.6158,2.728223,340,1725,22,2,1.3,16.2,3.1,2,7.6,-0.10618,1.79876,,,,,,,
SB0394_S80,4.958111836,280,19817,17430,87.95,15845,9648,48.69,8407,42.42,9/10/19,2019,Sediment,post,11:49:00,0,4,W,0,0,2,,,,,,340,1671,22,5,1.25,15.8,4.2,1,7.6,-0.10618,1.79876,,,,,,,
SB0395_S81,4.898234488,197,11068,7999,72.27,6770,3933,35.53,3507,31.69,9/10/19,2019,Sediment,post,11:49:00,0,4,W,0,0,3,,,,,,120,1630,23,20,1.01,13.8,4.4,2,7.6,-0.10618,1.79876,,,,,,,
SB0396_S82,4.481797962,142,9365,5546,59.22,4783,2824,30.15,2557,27.3,9/10/19,2019,Sediment,post,11:49:00,0,4,W,0,0,4,P_0172,0.75555,-0.08654,0.6925,0.869297,180,1729,22,22,1.18,11,4.3,2,7.6,-0.10618,1.79876,,,,,,,
SB0397_S83,4.778123847,198,7562,6626,87.62,5709,3688,48.77,3302,43.67,9/10/19,2019,Sediment,post,14:08:00,0,3.3,W,0,0,1,P_0173,0.75835,-0.09031,0.58335,3.99287,,1739,23,26,1.58,13.8,4.9,1,7.6,-0.096565,2.2973905,,,,,,,
SB0398_S84,4.660917537,224,11380,9843,86.49,8717,5508,48.4,4877,42.86,9/10/19,2019,Sediment,post,14:08:00,0,3.3,W,0,0,2,,,,,,120,1700,24,29,1.52,19,4.1,1,7.5,-0.096565,2.2973905,,,,,,,
SB0399_S85,4.989128193,235,8992,7799,86.73,6940,4555,50.66,4113,45.74,9/10/19,2019,Sediment,post,14:08:00,0,3.3,W,0,0,3,,,,,,55,1700,24.5,72,1.14,18.4,3.5,1,7.5,-0.096565,2.2973905,,,,,,,
SB0400_S86,5.294925804,300,16311,14232,87.25,12937,8309,50.94,7560,46.35,9/10/19,2019,Sediment,post,14:08:00,0,3.3,W,0,0,4,P_0174,0.7677,-0.10282,0.70965,0.601911,90,1756,24.5,57,1.21,14.4,3.9,0,7.5,-0.096565,2.2973905,,,,,,,
SB0401_S87,5.147566045,261,8307,7252,87.3,6564,4850,58.38,4475,53.87,9/10/19,2019,Sediment,post,17:10:00,0,4.2,W,0,0,1,P_0175,0.80105,-0.14603,0.67825,1.125114,75,1666,23,46,1.86,7.5,8.3,2,7.5,-0.146,1.2049615,,,,,,,
SB0402_S88,4.927411126,289,16856,15284,90.67,13881,8732,51.8,7597,45.07,9/10/19,2019,Sediment,post,17:10:00,0,4.2,W,0,0,2,,,,,,60,1664,23,123,1.63,7.7,9.2,1,7.5,-0.146,1.2049615,,,,,,,
SB0403_S89,5.132674644,262,9282,8137,87.66,7196,4587,49.42,4210,45.36,9/10/19,2019,Sediment,post,17:10:00,0,4.2,W,0,0,3,,,,,,60,1656,24,92,1.43,7.4,7.6,1,7.6,-0.146,1.2049615,,,,,,,
SB0404_S90,4.854238596,224,10944,9853,90.03,8737,6025,55.05,5527,50.5,9/10/19,2019,Sediment,post,17:10:00,0,4.2,W,0,0,4,P_0176,0.801,-0.14597,0.6702,1.284809,80,1574,23,45,1.31,9.4,7.3,0,7.6,-0.146,1.2049615,,,,,,,
SB0405_S91,4.202394399,161,8681,7623,87.81,6798,4898,56.42,4453,51.3,9/11/19,2019,Sediment,post,8:15:00,29.6,1.6,E,3,100,1,P_0177,0.83615,-0.18926,0.70915,0.609136,900,1852,16,5,1.06,47.4,6.7,3,7.6,-0.160795,0.641263,,,,,,,
SB0407_S93,4.022164955,184,8500,7446,87.6,6502,4324,50.87,3924,46.16,9/11/19,2019,Sediment,post,8:15:00,29.6,1.6,E,3,100,3,,,,,,600,1702,19,26,1.03,33.9,2,1,7.6,-0.160795,0.641263,,,,,,,
